Id,Label,nome,attribute,categoria,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
576p,Franca Aldrovandi,Franca Aldrovandi,1,Performer,92,8,0.206565,0.212315,0,0.000374
577p,Franca Bignami,Franca Bignami,8,Performer,227,2,0.833333,0.9,0,0.001127
578p,Franca Rame,Franca Rame,176,Performer,68,7,0.269644,0.280988,0,0.002709
579p,Franca Regio,Franca Regio,2,Performer,179,8,0.291447,0.315773,0,0.023301
580p,Franca Valeri,Franca Valeri,23,Performer,68,7,0.270248,0.282412,0,0.003496
581p,Franca Valtingo,Franca Valtingo,1,Performer,179,7,0.304732,0.335961,0,0.041827
582p,Francesco Conti,Francesco Conti,1,Performer,179,7,0.296911,0.32485,0,0.03368
583p,Francesco Mander,Francesco Mander,4,Performer,179,7,0.335068,0.376066,461.670018,0.118458
584p,Francesco Molinari Pradelli,Francesco Molinari Pradelli,5,Performer,179,7,0.340861,0.379612,935.661485,0.103088
585p,Francesco Ranzani,Francesco Ranzani,1,Performer,179,8,0.312925,0.349787,0,0.065528
586p,Francis Travis,Francis Travis,1,Performer,179,8,0.279514,0.296501,0,0.012592
587p,Franco Ambrosetti,Franco Ambrosetti,1,Performer,92,8,0.204835,0.210858,0,0.00085
588p,Franco Calabrese,Franco Calabrese,20,Performer,179,7,0.314249,0.349453,634.526457,0.068676
589p,Franco Caracciolo,Franco Caracciolo,3,Performer,179,7,0.321464,0.355072,220.998427,0.083473
590p,Franco Cei,Franco Cei,1,Performer,179,8,0.295052,0.320742,0,0.02353
591p,Franco Cerri,Franco Cerri,18,Performer,92,6,0.345432,0.373439,122416.10371,0.060347
592p,Franco Corelli,Franco Corelli,25,Performer,179,7,0.306715,0.337394,275.348882,0.049411
593p,Franco Covello,Franco Covello,2,Performer,92,7,0.25542,0.268302,2700.353127,0.005155
594p,Franco Faglioni,Franco Faglioni,33,Performer,145,8,0.247312,0.260862,0,0.00315
595p,Franco Fantini,Franco Fantini,1,Performer,179,8,0.287843,0.309264,0,0.013565
596p,Franco Ferrari,Franco Ferrari,76,Performer,64,7,0.259433,0.271188,1201.36801,0.004791
597p,Franco Franchi,Franco Franchi,86,Performer,49,7,0.285588,0.305103,7268.170777,0.013507
598p,Franco Gallini,Franco Gallini,3,Performer,49,6,0.364322,0.397162,49615.995002,0.14296
599p,Franco Graziosi,Franco Graziosi,32,Performer,29,8,0.236446,0.248334,0,0.002808
600p,Franco Gulli,Franco Gulli,8,Performer,179,7,0.359576,0.40356,977.980858,0.228574
601p,Franco Lari,Franco Lari,1,Performer,69,1,1,1,0,0.000222
602p,Franco Maggio Ormezowski,Franco Maggio Ormezowski,1,Performer,179,8,0.297139,0.326107,0,0.031204
603p,Franco Mannino,Franco Mannino,5,Performer,179,7,0.344385,0.376955,485.353907,0.122904
604p,Franco Mondini,Franco Mondini,1,Performer,92,8,0.213764,0.222408,0,0.002449
605p,Franco Morelli,Franco Morelli,2,Performer,92,9,0.181989,0.188438,0,0.000305
606p,Franco Novello,Franco Novello,1,Performer,179,7,0.315893,0.347009,0,0.05266
607p,Franco Parenti,Franco Parenti,22,Performer,40,1,1,1,0,0.000474
608p,Franco Piva,Franco Piva,7,Performer,145,7,0.315274,0.349349,15771.149147,0.051149
609p,Franco Ponzoni,Franco Ponzoni,33,Performer,70,0,0,0,0,0
610p,Franco Sportelli,Franco Sportelli,93,Performer,273,7,0.274159,0.287631,1870.534427,0.00542
611p,Franco Tagliavini,Franco Tagliavini,2,Performer,179,8,0.262073,0.279405,0,0.004269
612p,Franco Tonani,Franco Tonani,1,Performer,92,7,0.261046,0.273012,85.182801,0.005295
613p,Franco Vebari,Franco Vebari,2,Performer,71,1,1,1,0,0.000474
614p,Franco Ventifriglia,Franco Ventifriglia,1,Performer,72,0,0,0,0,0
615p,Franco Verbani,Franco Verbani,21,Performer,189,2,0.75,0.833333,2,0.000459
616p,Franco Verganti,Franco Verganti,2,Performer,179,7,0.333161,0.374079,377.959668,0.101321
617p,Franco Vicini,Franco Vicini,1,Performer,73,0,0,0,0,0
618p,Francoise Ogeas,Francoise Ogeas,1,Performer,179,8,0.279433,0.300745,0,0.010762
619p,Frank Boys,Frank Boys,1,Performer,246,2,0.777778,0.857143,0,0.00147
620p,Frank Dunlop,Frank Dunlop,2,Performer,34,2,0.857143,0.916667,0,0.001528
621p,Frank Glazer,Frank Glazer,1,Performer,74,0,0,0,0,0
622p,Frank Pelleg,Frank Pelleg,1,Performer,179,7,0.314761,0.345572,0,0.056086
623p,Frank Sinatra,Frank Sinatra,2,Performer,92,6,0.316514,0.332712,3159.410203,0.016326
624p,Fratelli De Vico,Fratelli De Vico,2,Performer,75,0,0,0,0,0
625p,Fraternity Brothers,Fraternity Brothers,1,Performer,22,1,1,1,0,0.001078
626p,Fred Buscaglione,Fred Buscaglione,2,Performer,92,8,0.253377,0.271722,2482.330878,0.010926
627p,Fredell Lack,Fredell Lack,1,Performer,179,7,0.310811,0.335012,0,0.0329
628p,Frederic Rzewski,Frederic Rzewski,1,Performer,76,1,1,1,0,0.000222
629p,Frederick Prausnitz,Frederick Prausnitz,4,Performer,179,7,0.309367,0.336107,197.859323,0.03932
630p,Fredo Pistoni,Fredo Pistoni,1,Performer,159,1,1,1,0,0.000222
631p,Frieder Weissman,Frieder Weissman,2,Performer,179,7,0.345679,0.385271,227.709242,0.120559
632p,Friedl Genk,Friedl Genk,1,Performer,179,8,0.317763,0.35593,0,0.07193
633p,Friedrich Gulda,Friedrich Gulda,6,Performer,179,7,0.340981,0.379301,41.86022,0.118865
634p,Fritz Buechtger,Fritz Buechtger,1,Performer,77,8,0.29255,0.320241,1,0.019166
635p,Fritz Ernst,Fritz Ernst,1,Performer,78,1,1,1,0,0.000222
636p,Fulvia Velli,Fulvia Velli,1,Performer,92,8,0.222632,0.236372,0.166667,0.004514
637p,Fulvio Montanaro,Fulvio Montanaro,5,Performer,179,7,0.337526,0.381375,1268.963489,0.147318
638p,Fulvio Vernizzi,Fulvio Vernizzi,2,Performer,179,7,0.303583,0.327107,750.238127,0.031615
639p,Furio Ciapetti,Furio Ciapetti,21,Performer,61,8,0.20882,0.216634,0,0.001859
640p,Gabor Otvos,Gabor Otvos,3,Performer,179,7,0.336117,0.379178,398.177782,0.124201
641p,Gabriel Tachinau,Gabriel Tachinau,1,Performer,79,0,0,0,0,0
642p,Gabriele Bellini,Gabriele Bellini,1,Performer,179,7,0.292905,0.316891,0,0.024511
643p,Gabriele Foresta,Gabriele Foresta,1,Performer,129,1,1,1,0,0.000474
644p,Gabriele Santini,Gabriele Santini,16,Performer,179,7,0.308774,0.339421,300.129954,0.042859
645p,Gabriella Andreini,Gabriella Andreini,44,Performer,290,8,0.212846,0.223603,0,0.00191
646p,Gabriella Barsotti,Gabriella Barsotti,1,Performer,179,8,0.284034,0.306798,0,0.013726
647p,Gabriella Carturan,Gabriella Carturan,1,Performer,179,7,0.313636,0.344092,0,0.056475
648p,Gabriella Galli Angelini,Gabriella Galli Angelini,1,Performer,80,0,0,0,0,0
649p,Gabriella Giacobbe,Gabriella Giacobbe,43,Performer,273,7,0.273616,0.286009,0,0.004102
650p,Gabriella Piva,Gabriella Piva,5,Performer,92,8,0.222453,0.235423,3861,0.002464
651p,Gabriella Rossi,Gabriella Rossi,1,Performer,12,7,0.302916,0.330239,0,0.024369
652p,Gabriella Tucci,Gabriella Tucci,13,Performer,179,7,0.319022,0.349539,697.797321,0.060659
653p,Gaetano Ferranti,Gaetano Ferranti,1,Performer,128,1,1,1,0.2,0.001802
654p,Gaspar Cassad�,Gaspar Cassad�,3,Performer,179,7,0.330087,0.36681,338.935531,0.082371
655p,Gastone Bartolucci,Gastone Bartolucci,14,Performer,81,1,1,1,0,0.001078
656p,Gastone Limarilli,Gastone Limarilli,5,Performer,179,7,0.268557,0.287882,0,0.011248
657p,Gastone Parigi,Gastone Parigi,3,Performer,92,8,0.211958,0.220981,0,0.001581
658p,Gastone Tassinari,Gastone Tassinari,6,Performer,179,7,0.347545,0.388316,2016.607922,0.167317
659p,G� Speranza,G� Speranza,1,Performer,82,0,0,0,0,0
660p,Geg� Di Giacomo,Geg� Di Giacomo,1,Performer,92,8,0.199876,0.205313,0,0.000646
661p,Gene Colonnello,Gene Colonnello,4,Performer,92,8,0.248201,0.263415,2789.629784,0.006265
662p,Gene Quill,Gene Quill,2,Performer,126,2,0.6,0.666667,0,0.00176
663p,Gene Ramey,Gene Ramey,2,Performer,264,5,0.297872,0.42619,0.2,0.001839
664p,Gennaro D'Onofrio,Gennaro D'Onofrio,1,Performer,179,8,0.262002,0.281097,0,0.004769
665p,Geo Giussani,Geo Giussani,5,Performer,179,7,0.298517,0.327827,0,0.030616
666p,George Gruntz,George Gruntz,2,Performer,92,7,0.257463,0.269843,962.704765,0.005319
667p,George Joyner,George Joyner,25,Performer,92,7,0.266152,0.281734,2775.029815,0.00975
668p,George Shirley,George Shirley,2,Performer,83,8,0.262144,0.279922,0,0.005381
669p,George Szell,George Szell,4,Performer,179,7,0.315532,0.348202,0,0.044149
670p,George Walker,George Walker,1,Performer,179,7,0.317554,0.351107,1931,0.04984
671p,Georgia Davis,Georgia Davis,1,Performer,84,0,0,0,0,0
672p,Gerard Sety,Gerard Sety,1,Performer,103,1,1,1,0,0.000474
673p,Gerard Souray,Gerard Souray,2,Performer,179,7,0.324815,0.357907,0,0.065026
674p,Germaine Montero,Germaine Montero,6,Performer,273,8,0.205838,0.210892,0,0.000655
675p,Gerry Mulligan,Gerry Mulligan,5,Performer,126,2,0.75,0.833333,20.866667,0.003085
676p,Geza Anda,Geza Anda,5,Performer,179,7,0.323944,0.359106,0,0.073894
677p,Gherardo Macarini Carmignani,Gherardo Macarini Carmignani,2,Performer,179,7,0.322107,0.35454,153.74895,0.065161
678p,Ghigo,Ghigo,1,Performer,92,7,0.251268,0.26274,0,0.005303
679p,Giacomo Bogliolo,Giacomo Bogliolo,1,Performer,85,0,0,0,0,0
680p,Giacomo Rondinella,Giacomo Rondinella,3,Performer,86,0,0,0,0,0
681p,Giampaolo Corradi,Giampaolo Corradi,2,Performer,51,8,0.259608,0.27556,0,0.005052
682p,Giampiero Malaspina,Giampiero Malaspina,4,Performer,179,7,0.297551,0.326576,0,0.027079
683p,Gian Costello,Gian Costello,1,Performer,92,7,0.270134,0.285598,9.755581,0.008226
685p,Gian Giacomo Guelfi,Gian Giacomo Guelfi,5,Performer,179,7,0.29824,0.326878,0,0.027975
686p,Gian Luigi Franz,Gian Luigi Franz,1,Performer,179,8,0.294512,0.321449,0,0.030868
687p,Gian Stellari,Gian Stellari,1,Performer,257,7,0.265239,0.278697,0,0.003601
688p,Gianandrea Gavazzeni,Gianandrea Gavazzeni,75,Performer,179,7,0.315841,0.354364,2101.062207,0.091377
689p,Gianbruna Rizzardini,Gianbruna Rizzardini,4,Performer,145,7,0.289048,0.307882,0,0.011011
690p,Giancarlo Caio,Giancarlo Caio,14,Performer,149,1,1,1,0.2,0.001802
691p,Giancarlo Cobelli,Giancarlo Cobelli,78,Performer,68,6,0.338117,0.357272,21024.972344,0.034656
692p,Giancarlo Fusco,Giancarlo Fusco,21,Performer,68,7,0.27695,0.289627,0,0.004398
693p,Giancarlo Morganti,Giancarlo Morganti,1,Performer,128,2,0.857143,0.916667,0,0.001528
694p,Gianfranco Monicelli,Gianfranco Monicelli,1,Performer,179,7,0.30406,0.333494,0,0.036435
695p,Gianfranco Spinelli,Gianfranco Spinelli,13,Performer,51,7,0.341282,0.377049,14862.297134,0.127171
696p,Gianluigi Franz,Gianluigi Franz,1,Performer,179,7,0.326682,0.363339,0,0.071626
697p,Gianna Galli,Gianna Galli,3,Performer,87,0,0,0,0,0
698p,Gianna Maritati,Gianna Maritati,2,Performer,179,7,0.308036,0.340421,63.361395,0.058695
699p,Gianna May,Gianna May,1,Performer,201,2,0.75,0.833333,0,0.00111
700p,Gianni Ales,Gianni Ales,4,Performer,88,0,0,0,0,0
701p,Gianni Basso,Gianni Basso,13,Performer,92,7,0.298378,0.321364,10358.996603,0.02026
702p,Gianni Bonagura,Gianni Bonagura,33,Performer,290,9,0.202835,0.212061,0,0.001514
703p,Gianni Cajafa,Gianni Cajafa,144,Performer,64,7,0.264621,0.280837,7488.177405,0.008605
704p,Gianni Cazzola,Gianni Cazzola,1,Performer,92,7,0.250194,0.26074,0,0.002647
705p,Gianni Galavotti,Gianni Galavotti,32,Performer,29,8,0.236446,0.248334,0,0.002808
706p,Gianni Guglielmo,Gianni Guglielmo,2,Performer,273,6,0.312824,0.32852,0,0.01621
707p,Gianni Jaia,Gianni Jaia,7,Performer,179,7,0.296092,0.325196,23.181033,0.028964
708p,Gianni Quinjolly,Gianni Quinjolly,1,Performer,89,0,0,0,0,0
709p,Gianni Raimondi,Gianni Raimondi,42,Performer,179,7,0.311362,0.344288,219.892517,0.061526
710p,Gianni Rauchi,Gianni Rauchi,5,Performer,49,8,0.234352,0.242234,119.971466,0.000993
711p,Gianni Rotino,Gianni Rotino,1,Performer,90,1,1,1,0,0.000222
712p,Gianni Wilhelm,Gianni Wilhelm,1,Performer,179,7,0.320239,0.347089,0,0.052196
714p,Gigi Chichellero,Gigi Chichellero,1,Performer,92,6,0.311161,0.326363,0,0.014116
715p,Gigi Cova,Gigi Cova,3,Performer,210,1,1,1,2,0.000697
717p,Gigi Pistilli,Gigi Pistilli,20,Performer,287,7,0.246996,0.257967,0,0.002319
718p,Gigliola Rizzato,Gigliola Rizzato,1,Performer,179,7,0.319444,0.3484,0,0.055291
719p,Gil Cuppini Quintett,Gil Cuppini Quintett,1,Performer,92,7,0.265896,0.278266,0,0.003594
720p,Gilberto Cuppini,Gilberto Cuppini,16,Performer,92,7,0.304636,0.326963,13325.05387,0.020155
722p,Gilberto Tofano,Gilberto Tofano,3,Performer,68,7,0.276672,0.289058,0,0.00522
723p,Gildo Giacobbe,Gildo Giacobbe,1,Performer,179,8,0.300513,0.328022,0,0.034193
724p,Gin Brothers,Gin Brothers,1,Performer,169,1,1,1,0,0.000222
725p,Gina Cigna,Gina Cigna,1,Performer,158,1,1,1,0,0.000222
726p,Gina Consolandi,Gina Consolandi,8,Performer,51,7,0.293706,0.313877,3.216179,0.016392
727p,Gino Belloni,Gino Belloni,8,Performer,51,7,0.298286,0.318237,113.988678,0.018235
728p,Gino Besana,Gino Besana,1,Performer,179,7,0.294602,0.315715,0,0.020609
729p,Gino Bramieri,Gino Bramieri,88,Performer,290,8,0.212284,0.224119,3781.129866,0.005225
730p,Gino Corcelli,Gino Corcelli,1,Performer,92,9,0.195388,0.203281,0,0.000509
731p,Gino Diamanti,Gino Diamanti,1,Performer,179,8,0.311211,0.344404,0,0.054691
732p,Gino Gandolfi,Gino Gandolfi,1,Performer,179,8,0.315326,0.349278,1931,0.056891
733p,Gino Gorini,Gino Gorini,7,Performer,179,7,0.350572,0.394122,1368.075043,0.187559
734p,Gino Latilla,Gino Latilla,1,Performer,246,2,0.583333,0.642857,0,0.000556
735p,Gino Negri,Gino Negri,1,Performer,68,7,0.24929,0.256739,0,0.001055
736p,Gino Paoli,Gino Paoli,5,Performer,92,7,0.275724,0.296192,3832.40483,0.017821
737p,Gioconda De Vito,Gioconda De Vito,6,Performer,179,7,0.335358,0.378663,142.66153,0.130599
738p,Gioietti Paoli Padova,Gioietti Paoli Padova,1,Performer,91,0,0,0,0,0
739p,Giorgia,Giorgia,2,Performer,92,7,0.248329,0.265581,334.887648,0.008065
740p,Giorgio Azzolini,Giorgio Azzolini,1,Performer,92,7,0.250194,0.26074,0,0.002647
741p,Giorgio Buratto,Giorgio Buratto,1,Performer,92,8,0.208347,0.215902,0,0.001672
742p,Giorgio Consolini,Giorgio Consolini,18,Performer,92,7,0.289655,0.305638,8501.751072,0.010844
743p,Giorgio Gaber,Giorgio Gaber,26,Performer,92,6,0.311412,0.335956,41887.035088,0.030305
744p,Giorgio Gaslini,Giorgio Gaslini,7,Performer,92,6,0.364804,0.394315,72643.639642,0.095782
745p,Giorgio Mazza,Giorgio Mazza,1,Performer,166,1,1,1,0,0.000474
746p,Giorgio Tadeo,Giorgio Tadeo,9,Performer,179,7,0.332989,0.37582,994.08658,0.126699
747p,Giorgio Tozzi,Giorgio Tozzi,5,Performer,179,8,0.256267,0.272939,0,0.009837
748p,Giorgio Vanni,Giorgio Vanni,1,Performer,93,0,0,0,0,0
749p,Giovanna Calzi,Giovanna Calzi,1,Performer,179,7,0.306861,0.336493,0,0.03239
750p,Giovanna Fioroni,Giovanna Fioroni,1,Performer,179,7,0.293038,0.311623,0,0.017169
751p,Giovanni Capitelli,Giovanni Capitelli,1,Performer,94,1,1,1,0,0.000474
752p,Giovanni Dell'Agnola,Giovanni Dell'Agnola,1,Performer,179,7,0.296911,0.317877,0,0.027174
753p,Giovanni Gibin,Giovanni Gibin,2,Performer,179,8,0.276553,0.297349,0,0.011142
754p,Giovanni Tommaso,Giovanni Tommaso,2,Performer,92,8,0.231933,0.244167,219.824783,0.004834
755p,Gisela May,Gisela May,8,Performer,273,7,0.251595,0.261414,1931.25,0.002922
756p,Giuliana Bordoni,Giuliana Bordoni,1,Performer,179,7,0.327569,0.359529,0,0.064879
757p,Giuliana Matteini,Giuliana Matteini,1,Performer,179,8,0.297414,0.322846,0,0.024922
758p,Giuliana Raucci,Giuliana Raucci,2,Performer,179,7,0.321197,0.352073,159.199673,0.065725
759p,Giulietta Simionato,Giulietta Simionato,35,Performer,179,7,0.321732,0.359194,2353.054146,0.100157
760p,Giulio Bertola,Giulio Bertola,4,Performer,179,7,0.355082,0.396817,307.837592,0.183119
761p,Giulio Confalonieri,Giulio Confalonieri,2,Performer,51,8,0.267775,0.284696,1945.453866,0.005682
762p,Giulio Finardi,Giulio Finardi,1,Performer,282,9,0.202304,0.211057,0,0.000871
763p,Giulio Floravanti,Giulio Floravanti,4,Performer,179,7,0.29801,0.327439,0,0.026957
764p,Giulio Libano,Giulio Libano,5,Performer,92,7,0.267775,0.284122,1666.93001,0.007806
765p,Giulio Montano,Giulio Montano,1,Performer,179,7,0.326738,0.361254,1.911663,0.06766
766p,Giuseppe Aliprandi,Giuseppe Aliprandi,1,Performer,92,8,0.227911,0.238856,0.2,0.003034
767p,Giuseppe Baratti,Giuseppe Baratti,2,Performer,179,8,0.316773,0.354886,77.955743,0.08631
768p,Giuseppe Campora,Giuseppe Campora,2,Performer,179,7,0.297735,0.328431,0,0.032886
769p,Giuseppe De Don�,Giuseppe De Don�,2,Performer,179,8,0.294692,0.323709,0,0.0291
770p,Giuseppe Di Stefano,Giuseppe Di Stefano,6,Performer,179,7,0.300233,0.330329,14.861054,0.036964
771p,Giuseppe Fanciulli,Giuseppe Fanciulli,1,Performer,247,8,0.215337,0.223737,0,0.000756
772p,Giuseppe Modesti,Giuseppe Modesti,6,Performer,179,7,0.30838,0.340896,175.554981,0.051025
773p,Giuseppe Postiglione,Giuseppe Postiglione,3,Performer,179,7,0.295639,0.317829,0,0.023856
774p,Giuseppina Guio,Giuseppina Guio,1,Performer,233,8,0.262144,0.279922,0,0.005054
775p,Giustino Durano,Giustino Durano,76,Performer,61,7,0.263287,0.277455,8622.907709,0.005647
776p,Gladys Castanier,Gladys Castanier,1,Performer,179,7,0.278989,0.295517,0,0.005809
777p,Glauco Mari,Glauco Mari,44,Performer,273,7,0.258704,0.269329,0,0.003566
778p,Glauco Masetti,Glauco Masetti,12,Performer,92,7,0.293617,0.315567,24451.650602,0.018951
779p,Glauco Onorato,Glauco Onorato,41,Performer,286,8,0.213033,0.219973,0,0.001296
780p,Glauco Scarlini,Glauco Scarlini,26,Performer,64,7,0.258358,0.268609,65.465432,0.003295
781p,Glauco Verozzi,Glauco Verozzi,2,Performer,179,8,0.262073,0.279405,0,0.004269
782p,Gleen Myers,Gleen Myers,2,Performer,95,1,1,1,2,0.000697
783p,Gloria Davy,Gloria Davy,8,Performer,179,7,0.335766,0.375635,733.931974,0.111505
785p,Gloria Ferrari,Gloria Ferrari,1,Performer,179,8,0.309715,0.342075,0,0.037346
786p,Gloria Handy,Gloria Handy,11,Performer,115,1,1,1,0,0.001078
787p,Gloria Lane,Gloria Lane,4,Performer,179,7,0.295911,0.321506,0,0.028374
788p,Gloria Paul,Gloria Paul,93,Performer,92,9,0.168925,0.174657,0,0.000531
789p,Goffredo Petrassi,Goffredo Petrassi,2,Performer,179,7,0.365425,0.409739,8114.381046,0.217273
790p,Gorni Kramer,Gorni Kramer,6,Performer,92,7,0.289612,0.314549,11036.874761,0.023077
791p,Grande orchestra R.C.A.,Grande orchestra R.C.A.,9,Performer,92,8,0.211935,0.219196,0,0.000562
792p,Grazia Junko,Grazia Junko,19,Performer,64,8,0.212331,0.220355,33.587026,0.002113
793p,Grazia Maria Spina,Grazia Maria Spina,26,Performer,61,8,0.20934,0.217693,0.5,0.002615
794p,Graziella Sciutti,Graziella Sciutti,10,Performer,179,7,0.31252,0.34482,128.4488,0.050687
795p,Groupe du theatre antique de la Sorbonne,Groupe du theatre antique de la Sorbonne,4,Performer,145,8,0.209317,0.215919,0,0.000934
796p,Gruppo Barocco Lombardo,Gruppo Barocco Lombardo,1,Performer,179,9,0.229727,0.241308,0,0.000777
797p,Gruppo dei concerti del Politecnico,Gruppo dei concerti del Politecnico,2,Performer,179,7,0.313891,0.346589,39.217596,0.055421
798p,gruppo di danze popolari di Rajamaki,gruppo di danze popolari di Rajamaki,1,Performer,96,0,0,0,0,0
799p,Gruppo strumentale Ferro,Gruppo strumentale Ferro,1,Performer,97,0,0,0,0,0
800p,Gruppo strumentale Philomusica di Londra,Gruppo strumentale Philomusica di Londra,2,Performer,179,7,0.304156,0.334834,0,0.038675
801p,Gruppo strumentale Santa Cecilia,Gruppo strumentale Santa Cecilia,1,Performer,98,0,0,0,0,0
802p,Guido Camillucci,Guido Camillucci,1,Performer,99,1,1,1,0,0.000222
803p,Guido Gheduzzi,Guido Gheduzzi,1,Performer,273,7,0.270323,0.282826,0,0.004201
804p,Gulseren Sadak,Gulseren Sadak,1,Performer,179,7,0.301169,0.325937,0,0.038199
805p,Gurg von Vintschger,Gurg von Vintschger,1,Performer,179,8,0.312268,0.346423,0,0.058544
806p,Gustav Neidlinger,Gustav Neidlinger,4,Performer,179,7,0.298378,0.327206,0,0.02781
807p,Guy Severins,Guy Severins,43,Performer,247,8,0.215577,0.225635,643.8,0.002747
808p,Gyory Cziffra,Gyory Cziffra,1,Performer,179,7,0.303202,0.324004,0,0.032687
809p,Hans Fazzari,Hans Fazzari,2,Performer,100,0,0,0,0,0
810p,Hans Gillesberger,Hans Gillesberger,2,Performer,179,7,0.310911,0.345761,0,0.036794
811p,Hans Kennel,Hans Kennel,1,Performer,273,8,0.221382,0.231111,0,0.001703
812p,Hans Schmitt,Hans Schmitt,1,Performer,179,7,0.310262,0.340688,0,0.04666
813p,Hans Swarowski,Hans Swarowski,1,Performer,179,8,0.293528,0.31742,0,0.015703
814p,Harold Bradley,Harold Bradley,11,Performer,115,1,1,1,0,0.001078
815p,Harold Nicholas,Harold Nicholas,12,Performer,101,0,0,0,0,0
816p,Harry Belafonte,Harry Belafonte,4,Performer,102,1,1,1,0,0.000222
817p,Heidi Bung,Heidi Bung,1,Performer,179,8,0.303678,0.332293,0,0.034403
819p,Helen Merrill,Helen Merrill,1,Performer,92,8,0.21124,0.219167,0,0.001876
820p,Helmut Barth,Helmut Barth,1,Performer,179,8,0.283617,0.308386,0,0.026235
821p,Helmut Hunger,Helmut Hunger,2,Performer,179,7,0.328125,0.359624,85.754508,0.071203
822p,Helmut Melchert,Helmut Melchert,4,Performer,179,7,0.297918,0.326826,0,0.028318
823p,Helmut Roloff,Helmut Roloff,1,Performer,179,7,0.314197,0.345648,0,0.055004
824p,Henghel Gualdi,Henghel Gualdi,14,Performer,243,1,1,1,1,0.000445
825p,Henri Gui,Henri Gui,4,Performer,179,7,0.304252,0.334831,6.526418,0.034502
826p,Henri Pujol,Henri Pujol,1,Performer,179,7,0.323781,0.351187,0,0.055637
827p,Henry Patterson,Henry Patterson,1,Performer,103,1,1,1,0,0.000474
828p,Henry Szeryng,Henry Szeryng,1,Performer,179,7,0.323835,0.35644,0,0.064221
829p,Henry Wilson,Henry Wilson,17,Performer,104,2,0.714286,0.8,0.5,0.000757
830p,Henry Wright,Henry Wright,2,Performer,92,8,0.236736,0.252587,1020.545053,0.005605
831p,Herb Hellis,Herb Hellis,1,Performer,264,5,0.345679,0.459524,0,0.001682
832p,Herbert Albert,Herbert Albert,9,Performer,179,7,0.340201,0.385231,935.849315,0.177398
833p,Herbert Handt,Herbert Handt,7,Performer,179,7,0.337467,0.378504,1411.843441,0.123529
834p,Herbert Stengel,Herbert Stengel,1,Performer,92,7,0.257154,0.268549,0.795238,0.004058
835p,Herbert von Karajan,Herbert von Karajan,12,Performer,179,7,0.33565,0.376333,96.994399,0.086581
836p,Herbie Lewis,Herbie Lewis,1,Performer,126,3,0.517241,0.622222,0,0.001553
837p,Hermann Michael,Hermann Michael,2,Performer,179,7,0.302158,0.327213,0,0.027164
838p,Hermann Prey,Hermann Prey,1,Performer,179,7,0.292417,0.310277,0,0.017814
839p,Hermann Scherchen,Hermann Scherchen,20,Performer,179,7,0.348799,0.387013,1267.671021,0.147659
840p,Hermilo Novelo,Hermilo Novelo,1,Performer,105,0,0,0,0,0
841p,Hilde Guden,Hilde Guden,4,Performer,179,7,0.304252,0.334831,6.526418,0.034502
842p,Horacina Correa,Horacina Correa,1,Performer,92,8,0.237785,0.248671,0,0.00266
843p,Hubert Mahler,Hubert Mahler,1,Performer,179,7,0.286053,0.308038,0,0.012726
844p,I 4 Bristol,I 4 Bristol,3,Performer,92,9,0.165001,0.170321,0,0.000831
845p,I 5 Astors,I 5 Astors,4,Performer,92,8,0.197546,0.206806,5787,0.002112
846p,I 5 Dandies,I 5 Dandies,1,Performer,106,0,0,0,0,0
847p,I 5 Gielle,I 5 Gielle,36,Performer,107,0,0,0,0,0
848p,I 5 Toscani,I 5 Toscani,1,Performer,108,0,0,0,0,0
849p,I Brutos,I Brutos,37,Performer,247,8,0.229863,0.248428,9506.166381,0.008985
850p,I Caballeros D'Espana,I Caballeros D'Espana,1,Performer,109,1,1,1,0,0.000474
851p,I cadetti del Jazz,I cadetti del Jazz,1,Performer,263,1,1,1,0,0.000474
852p,I Campioni,I Campioni,12,Performer,92,7,0.293483,0.309355,11544.656858,0.010223
853p,i Cinque Marcellini,i Cinque Marcellini,1,Performer,92,8,0.231156,0.238695,0,0.000757
854p,i Classici,i Classici,1,Performer,110,1,1,1,0,0.000222
855p,I Continentals,I Continentals,3,Performer,92,8,0.246366,0.259126,90.54124,0.004718
856p,I Framez,I Framez,1,Performer,111,1,1,1,0,0.000474
857p,i Grisbi,i Grisbi,2,Performer,92,8,0.22783,0.234677,0,0.000833
858p,I Legnanesi,I Legnanesi,172,Performer,308,1,1,1,2,0.000697
859p,I Marcellini,I Marcellini,3,Performer,92,7,0.274979,0.287284,2513.386764,0.003558
860p,i Matadors,i Matadors,2,Performer,241,1,1,1,0,0.000474
861p,i Midas,i Midas,43,Performer,92,9,0.190439,0.197795,0,0.000652
862p,i Musici,i Musici,6,Performer,179,6,0.354041,0.387034,13805.47518,0.109568
863p,i Musici 60,i Musici 60,1,Performer,92,8,0.215697,0.221614,0,0.000313
864p,I musici cantori,I musici cantori,1,Performer,51,8,0.274549,0.296643,0,0.011272
865p,i Ribelli,i Ribelli,1,Performer,92,7,0.249677,0.260382,2.197457,0.004379
866p,I Robby's,I Robby's,15,Performer,247,9,0.177394,0.182914,0,0.001014
867p,I Rock G.3,I Rock G.3,1,Performer,247,9,0.186938,0.195562,0,0.000852
868p,I solisti di Milano,I solisti di Milano,1,Performer,179,7,0.308774,0.333937,0,0.035449
